gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BCAS2,6.488387891,1.009039995,0.230799605,4.371931198,1.23E-05,1.52E-05
DENND2C,2.229587572,-0.689937048,0.160963056,-4.286306843,1.82E-05,2.24E-05
NRAS,139.2303194,5.586644721,0.236444803,23.62769095,2.00E-123,1.53E-122
CSDE1,243.8830605,6.069520311,0.23200089,26.16162507,7.27E-151,7.68E-150
SIKE1,20.72515459,2.788079968,0.235298609,11.84911367,2.17E-32,4.45E-32
TSPAN2,21.30065326,2.964216399,0.24573932,12.06244241,1.67E-33,3.47E-33
VANGL1,12.33713646,2.147259514,0.228207522,9.40924075,5.00E-21,8.46E-21
SLC22A15,5.391164307,0.86481341,0.224189592,3.857509178,0.000114548,0.000138632
MAB21L3,47.47673544,4.149572502,0.256789545,16.15942934,9.75E-59,3.10E-58
ATP1A1,50.36344023,4.070093091,0.222403036,18.30052847,8.20E-75,3.35E-74
CD58,125.6345327,5.478496032,0.21124068,25.93485322,2.70E-148,2.76E-147
IGSF3,36.59452235,3.759159535,0.230793676,16.28796596,1.20E-59,3.87E-59
PTGFRN,11.19928274,1.986655393,0.212157683,9.364051125,7.67E-21,1.29E-20
TRIM45,22.20672073,3.026384602,0.256127473,11.81593122,3.23E-32,6.59E-32
MAN1A2,12.83450592,2.055614016,0.23936999,8.587601204,8.88E-18,1.41E-17
GDAP2,27.90804817,3.304922109,0.223810345,14.76661908,2.40E-49,6.56E-49
WDR3,131.8936528,5.530001332,0.200391701,27.59595977,1.24E-167,1.57E-166
SPAG17,51.99514067,4.282380456,0.251653828,17.01694938,6.15E-65,2.16E-64
TBX15,90.33106696,5.021092525,0.222413481,22.57548646,7.55E-113,5.16E-112
WARS2,37.63281333,3.755890132,0.267316164,14.0503667,7.66E-45,1.93E-44
WARS2-IT1,20.95115763,2.952929757,0.2552015,11.57097335,5.78E-31,1.16E-30
ZNF697,15.72224438,2.491967269,0.24833113,10.03485655,1.07E-23,1.90E-23
PHGDH,6.39324918,0.939300384,0.226886697,4.139953541,3.47E-05,4.26E-05
NOTCH2,1.780142016,-1.531093669,0.129302574,-11.84116926,2.39E-32,4.89E-32
SEC22B,36.57180835,3.575109227,0.228327014,15.65784599,2.94E-55,8.82E-55
LINC00623,1.959456473,-0.910721941,0.151417118,-6.014656433,1.80E-09,2.45E-09
FAM72B,8.144070808,1.509375929,0.239772273,6.295039492,3.07E-10,4.25E-10
SRGAP2C,91.20496111,5.044946647,0.23848649,21.15401438,2.53E-99,1.48E-98
FAM72C,37.94928275,3.822369749,0.264358116,14.45905957,2.20E-47,5.80E-47
NBPF15,20.22570013,2.832547605,0.229467385,12.34400959,5.25E-35,1.12E-34
SRGAP2B,15.64820717,2.486118517,0.253345868,9.813140172,9.88E-23,1.73E-22
NBPF20,55.53739865,4.357504028,0.266245893,16.3664648,3.32E-60,1.08E-59
GPR89A,180.7241471,6.056655368,0.207708323,29.15942552,6.34E-187,9.34E-186
RNF115,292.9051752,6.683792752,0.189727301,35.2284185,7.34E-272,2.13E-270
POLR3C,70.15452837,4.664526723,0.230166067,20.2659184,2.57E-91,1.33E-90
PIAS3,42.49104792,3.944135914,0.232187708,16.986842,1.03E-64,3.60E-64
PEX11B,65.19482715,4.588861139,0.217970974,21.05262481,2.16E-98,1.25E-97
RBM8A,3.582315461,-0.69200257,0.178157743,-3.884212706,0.000102662,0.000124343
LIX1L,13.55565724,2.221238246,0.25111159,8.845622164,9.10E-19,1.47E-18
POLR3GL,4.317175054,0.420157864,0.205943795,2.040157913,0.0413346,0.045458858
TXNIP,51.72078559,4.189957143,0.237497439,17.64211508,1.17E-69,4.44E-69
NBPF12,74.99233154,4.792579878,0.191176748,25.068843,1.09E-138,1.01E-137
PRKAB2,33.68394707,3.532565131,0.259298779,13.62353167,2.90E-42,6.98E-42
CHD1L,6.879320183,1.273414435,0.199873397,6.371105184,1.88E-10,2.61E-10
ACP6,96.86604593,5.184896818,0.17713062,29.27160086,2.38E-188,3.55E-187
GPR89B,184.0914684,6.115421051,0.213522972,28.64057667,2.10E-180,2.97E-179
NBPF11,58.3187631,4.416610589,0.243958525,18.10394038,2.97E-73,1.19E-72
NBPF14,87.38066905,4.982976951,0.205192179,24.28443904,2.86E-130,2.41E-129
PDE4DIP,41.96920038,3.853634572,0.244320571,15.77286169,4.78E-56,1.45E-55
NBPF9,11.27848304,2.014171408,0.261004993,7.716984206,1.19E-14,1.80E-14
HIST2H4A,83.67037843,4.973100277,0.234341709,21.22157556,6.04E-100,3.55E-99
HIST2H2AA3,9.673365403,1.795287052,0.231828671,7.744025135,9.63E-15,1.46E-14
HIST2H2AA4,41.35437626,3.947463151,0.233215409,16.92625356,2.88E-64,1.00E-63
HIST2H3A,4.118581916,0.466852324,0.216819991,2.153179328,0.031304588,0.034645444
HIST2H4B,8.802558001,1.656808245,0.231720175,7.150038812,8.68E-13,1.27E-12
HIST2H2AC,51.75583987,4.224079221,0.257997569,16.37255435,3.00E-60,9.77E-60
